GeneA	GeneB	Digene_Score
GALNT6	MUC3B	0.958
GALNT14	MUC19	0.958
PPP2R5A	TBL1Y	0.9579
CDC16	SEM1	0.9578
CSK	HLA-DRB3	0.9578
DCP1A	RPS4Y1	0.9577
KIAA1107	PRR36	0.9576
CCL3L1	CCR10	0.9574
GALNT1	MUC3B	0.9574
HLA-C	KIR2DS2	0.9574
PCF11	U2AF1L5	0.9574
BECN2	DAPK1	0.9573
CBX5	ELOC	0.9573
ELOC	SPSB1	0.9573
HLA-F	KIR2DL5A	0.9573
SEM1	UBB	0.9573
HLA-C	KIR2DL2	0.9572
RPS4Y1	UPF3A	0.9571
APOBEC3G	SEM1	0.957
EIF2S3B	EIF4E	0.957
KIR3DS1	RAET1L	0.957
CDC6	SEM1	0.9569
MUC2	ST3GAL3	0.9569
PSMC3	SEM1	0.9569
DDX3Y	DDX4	0.9568
FYN	SHANK3	0.9568
GCNT1	MUC3B	0.9568
NLGN4Y	NRXN2	0.9568
PCBP2	U2AF1L5	0.9568
BUB3	SEM1	0.9567
CCL3L1	CCR7	0.9566
HLA-DRB3	ZAP70	0.9566
KIR2DS1	ULBP1	0.9566
ELOC	WSB2	0.9564
KIR3DS1	ULBP3	0.9564
RPS4Y1	SPCS2	0.9564
UBE2NL	UBE2V1	0.9564
GCNT3	MUC19	0.9563
HLA-F	KIR2DL2	0.9563
SEM1	UCHL5	0.9562
SHANK1	SHANK3	0.9562
CD274	HLA-DRB3	0.9561
GNAL	OR8U9	0.9561
C1GALT1	MUC3B	0.956
PLK1	SEM1	0.956
KIR3DS1	ULBP1	0.9558
SIAH1	TBL1Y	0.9556
C1GALT1C1	MUC3B	0.9555
KIR2DS2	TYROBP	0.9555
SMAD3	SRY	0.9554
HLA-F	KIR2DS4	0.9553
RAE1	U2AF1L5	0.9553
RBMY1F	TRA2B	0.9553
GNB1	OR8U8	0.9552
C1GALT1C1	MUC19	0.9551
RUNX2	SEM1	0.9551
ASB7	ELOC	0.955
CUL5	SEM1	0.9548
HLA-C	KIR2DL5A	0.9548
PPP2R5D	TBL1Y	0.9548
RPS4Y1	UPF2	0.9548
ELOC	SOCS2	0.9547
CDK2	SEM1	0.9546
GALNT7	MUC3B	0.9546
HLA-B	KIR2DS2	0.9546
RBMY1F	RNPS1	0.9546
CDC25A	SEM1	0.9545
GNGT1	OR11H7	0.9545
B3GNT6	MUC2	0.9544
CYP2E1	GSTT1	0.9544
PSME3	SEM1	0.9544
SEM1	TNFRSF12A	0.9544
ANAPC1	SEM1	0.9543
ANGPTL8	LPL	0.9543
DAZ1	DAZAP1	0.9543
HLA-A	KIR2DS2	0.9543
KIR2DS1	ULBP2	0.9543
CCNE2	SEM1	0.9542
KIR2DL2	PTPN6	0.9542
MFAP1	U2AF1L5	0.9542
ARF1	SHANK3	0.9541
CDKN1A	SEM1	0.9541
HLA-G	KIR2DS1	0.954
NFKBIB	SEM1	0.954
NLGN1	SHANK3	0.954
PIK3CA	SHANK3	0.954
GALNT4	MUC19	0.9537
SF3B3	U2AF1L5	0.9537
ACTB	TMSB4Y	0.9536
HLA-DRB3	PLCG1	0.9536
B3GNT8	MUC2	0.9535
ELOC	TULP4	0.9535
PNRC2	RPS4Y1	0.9535
SNRPN	U2AF1L5	0.9535
DAZ4	DAZAP1	0.9534
GDNF	SHANK3	0.9534
SIGLEC16	TYROBP	0.9534
TUBA4B	TUBB4B	0.9534
CASK	NLGN4Y	0.9533
CD40	SEM1	0.9532
KIR2DS1	RAET1L	0.9532
KIR3DS1	RAET1E	0.9532
GSTT1	NFE2L2	0.9531
KLHL12	SEM1	0.9531
PSMA8	SEM1	0.9531
SEM1	TNFSF11	0.953
SEM1	UBD	0.953
CCL3L1	CXCR6	0.9528
CWC25	U2AF1L5	0.9528
GRB2	SHANK3	0.9528
HLA-DRB3	PTPN22	0.9528
GALNT10	MUC19	0.9527
KIR2DS5	RAET1L	0.9527
NLGN4Y	NRXN3	0.9527
CTSS	HLA-DRB3	0.9526
HLA-E	KIR2DL5A	0.9526
KIR2DS1	RAET1E	0.9526
RPS4Y1	SPCS3	0.9526
COP1	SEM1	0.9525
ELOC	SPSB4	0.9525
HLA-DRB3	PDCD1LG2	0.9524
KIR2DS5	ULBP1	0.9524
CUL2	SEM1	0.9523
ELOC	SUPT6H	0.9522
KIR3DS1	RAET1G	0.9522
SNRPE	U2AF1L5	0.9521
FCGR2C	LILRA4	0.9519
TRAPPC2B	TRAPPC13	0.9519
DAZ3	DAZL	0.9518
BECN2	DAPK2	0.9516
CHST4	MUC3B	0.9516
CLTC	HLA-DRB3	0.9516
GALNT4	MUC3B	0.9516
GALNT10	MUC3B	0.9516
GNG8	TMIGD3	0.9516
HLA-DRB4	PTPRC	0.9516
OAZ1	SEM1	0.9516
CANX	HLA-DRB3	0.9513
DAZ1	DZIP1	0.9513
HLA-DRB3	PTPN6	0.9513
LTBR	SEM1	0.9513
FBXO5	SEM1	0.9512
GALNT13	MUC19	0.9512
GRK2	OR2W5	0.9512
GRK3	OR2W5	0.9512
KIR2DL5A	PTPN11	0.9512
TPR	U2AF1L5	0.9512
KIR3DS1	MR1	0.9511
ODC1	SEM1	0.9511
SEM1	TNFRSF11A	0.9511
SEM1	TRAF3	0.9509
GNAL	OR4C45	0.9508
HLA-DQB2	HLA-DRB4	0.9508
APC	TBL1Y	0.9507
PPP2R1A	RPS4Y1	0.9507
RPP38	RPS4Y1	0.9507
B3GNT3	MUC19	0.9506
ELOC	PSME4	0.9506
MUC19	ST6GALNAC2	0.9506
CCL3L1	CX3CR1	0.9505
FCGR2C	MAPK14	0.9503
GRK3	OR11H7	0.9503
PIK3R1	SHANK3	0.9503
PRKACA	SIK1B	0.9503
GALNT6	MUC19	0.9502
CD101	HLA-DRB4	0.9501
GNB1	OR4A8	0.9501
GNB1	OR4K3	0.9501
GNB1	OR4Q2	0.9501
GNGT1	OR4A8	0.9501
GNGT1	OR4K3	0.9501
GNGT1	OR4Q2	0.9501
HLA-DRB3	PTPRJ	0.9501
PPP1R2	PPP1R2C	0.9501
PSMB10	SEM1	0.9501
ASB2	ELOC	0.95
TRAF6	UBE2NL	0.95
U2AF1L5	WBP4	0.95
BECN2	HMGB1	0.9499
CASP1	CASP12	0.9499
SEM1	TP73	0.9499
GALNT7	MUC2	0.9496
KIR2DS1	RAET1G	0.9496
PAPOLA	U2AF1L5	0.9496
PSMF1	SEM1	0.9496
HLA-G	KIR3DS1	0.9495
AZGP1	KIR3DS1	0.9494
B3GNT4	MUC19	0.9494
BRMS1L	ZMAT1	0.9494
C7orf25	GCM2	0.9494
CCL28	NUDT17	0.9494
CHST11	MYO3B	0.9494
DDX3Y	RPS4Y1	0.9494
ESPNL	LFNG	0.9494
FBXL8	TFPI2	0.9494
GDF1	RGPD1	0.9494
GPHA2	ZNF784	0.9494
GPR34	ICA1	0.9494
HLA-DRB3	PRKCQ	0.9494
HMCN1	SOX12	0.9494
HOMER1	SHANK3	0.9494
KCNK2	SERTAD3	0.9494
LFNG	ZNF174	0.9494
NPPC	RGPD2	0.9494
OPN5	RGPD2	0.9494
PRKG2	SLC5A9	0.9494
SLC16A12	ZNF784	0.9494
SLC26A5	ZNF784	0.9494
ELOC	GTF2H4	0.9493
KIR2DS2	ULBP2	0.9492
ATXN7L1	SSPO	0.9491
B3GNT6	MUC19	0.9491
GALNT8	MUC19	0.9491
LTA	SEM1	0.9491
GCNT1	MUC2	0.949
RNF146	SEM1	0.949
HLA-DRB3	POMC	0.9489
ELOC	IWS1	0.9487
NUDCD2	PPIAL4A	0.9487
POM121C	U2AF1L5	0.9487
EEFSEC	RPS4Y1	0.9485
FCGR3B	LILRA3	0.9485
GLI1	SEM1	0.9485
GNAL	OR4A8	0.9485
GNAL	OR4K3	0.9485
GNAL	OR4Q2	0.9485
B3GNT8	MUC19	0.9484
ELOC	NEURL2	0.9484
CCL3L1	CCR9	0.9483
ELOC	TOP2A	0.9483
SEM1	TP53	0.9483
ARRB2	OR8U9	0.9482
CENPV	CENPVL3	0.9482
B3GNT5	MUC3B	0.948
GFRA3	SHANK3	0.948
ELOC	SOCS4	0.9479
HLA-DQB1	HLA-DRB4	0.9479
PSMD5	SEM1	0.9479
TXNL4A	U2AF1L5	0.9479
U2AF1L5	USP39	0.9479
POM121	U2AF1L5	0.9478
RHOA	RIPOR2	0.9478
GALNT15	MUC3B	0.9477
CCL3L1	IRF5	0.9476
PNO1	RPS4Y1	0.9476
U2AF1L5	XAB2	0.9476
KIR2DS2	ULBP1	0.9475
KIR2DS5	RAET1G	0.9472
TUBA4B	TUBB3	0.9472
DYNLL1	ELOC	0.9471
NLGN4Y	SHANK2	0.9471
OR4E1	PRKACB	0.9471
OR4E1	PRKACG	0.9471
ELOC	HIF3A	0.9469
ACTG1	TMSB4Y	0.9468
SEM1	SHH	0.9468
BECN2	PIK3R4	0.9467
HLA-DQA2	HLA-DRB3	0.9467
CRKL	SHANK3	0.9466
NRXN1	SHANK3	0.9466
HLA-G	KIR2DS2	0.9465
PPP2R5E	TBL1Y	0.9465
RPS4Y1	TSR1	0.9465
CTNNB1	PCDH11Y	0.9464
DLGAP1	NLGN4Y	0.9464
DLGAP1	SHANK3	0.9464
LMLN	LMLN2	0.9464
THOC3	U2AF1L5	0.9464
THOC6	U2AF1L5	0.9464
NFKBIA	SEM1	0.9463
RPS4Y1	SRPRA	0.9462
BYSL	RPS4Y1	0.946
CUL3	SEM1	0.946
HLA-B	KIR2DL5B	0.946
CD3D	HLA-DRB4	0.9459
DYSF	RIPOR2	0.9459
NLGN4X	SHANK3	0.9459
PSMB8	SEM1	0.9459
B3GNT5	MUC19	0.9458
PPP1CC	PPP1R2B	0.9458
CCL3L1	JUN	0.9457
FZR1	SEM1	0.9457
GALNT8	MUC2	0.9457
GNB1	OR2W5	0.9457
NUP62	U2AF1L5	0.9457
HLA-DRB3	HLA-DRB5	0.9454
NOB1	RPS4Y1	0.9451
CENPV	CENPVL1	0.945
HLA-G	KIR2DS5	0.945
NUP107	U2AF1L5	0.945
B4GALT5	MUC3B	0.9449
ELOC	PSMA8	0.9449
HLA-E	KIR2DS1	0.9449
NUP155	U2AF1L5	0.9448
EPOP	RAD21	0.9447
FBXL7	SEM1	0.9447
HLA-DRB3	STAT1	0.9447
NUP43	U2AF1L5	0.9447
NUP214	U2AF1L5	0.9447
AP1S2	HLA-DRB3	0.9446
RPS4Y1	SRPRB	0.9446
HLA-F	KIR2DS1	0.9445
AAAS	U2AF1L5	0.9444
CCL3L1	RELA	0.9444
GSPT1	RPS4Y1	0.9444
NUP93	U2AF1L5	0.9444
SEM1	TNFSF13B	0.9444
GALNT13	MUC2	0.9443
HLA-DRB4	ZAP70	0.9443
NUP160	U2AF1L5	0.9443
NUP205	U2AF1L5	0.9443
NUP133	U2AF1L5	0.9442
P3H3	PLOD1	0.9442
SEC13	U2AF1L5	0.9442
SEH1L	U2AF1L5	0.9442
APC2	TBL1Y	0.9441
NUP58	U2AF1L5	0.9441
AZGP1	KIR2DS1	0.9439
CTSL	HLA-DRB3	0.9439
NUP85	U2AF1L5	0.9439
HNRNPK	RBMY1C	0.9438
B3GNT2	MUC3B	0.9437
KIR2DS2	RAET1L	0.9437
SEM1	TNFRSF13C	0.9437
CDC27	SEM1	0.9436
CSK	HLA-DRB4	0.9436
CTXN1	CTXND1	0.9436
DVL3	SEM1	0.9436
HLA-E	KIR2DS2	0.9436
EGLN3	SEM1	0.9435
NUP37	U2AF1L5	0.9435
NUP54	U2AF1L5	0.9435
ARTN	SHANK3	0.9434
CCL3L1	FOS	0.9434
CCL3L1	NFKB1	0.9434
ELOC	NANOG	0.9434
NDC1	U2AF1L5	0.9434
PRICKLE1	SEM1	0.9434
RPS4Y1	SSR3	0.9434
ITCH	SEM1	0.9433
NUP153	U2AF1L5	0.9433
ORC1	SEM1	0.9433
CDKN1A	KIR2DL5A	0.9432
EIF2AK4	EIF2S3B	0.9432
MUC2	ST3GAL4	0.9432
NUP50	U2AF1L5	0.9432
RANBP2	U2AF1L5	0.9432
AP1B1	HLA-DRB3	0.9431
OAZ2	SEM1	0.9431
EP300	SIK1B	0.943
GNGT2	TMIGD3	0.943
B3GNT5	MUC2	0.9429
BECN2	PINK1	0.9429
HLA-DRB4	PTPN6	0.9429
BIRC3	SEM1	0.9427
GNAI2	TMIGD3	0.9427
PPP1CA	PPP1R2B	0.9427
DLGAP2	SHANK3	0.9426
GNG7	OR8U9	0.9426
SF3B5	U2AF1L5	0.9426
CTSD	HLA-DRB3	0.9425
NFE4	TFCP2	0.9425
HLA-DRB3	KLC1	0.9424
BAK1	BECN2	0.9422
DCTN5	HLA-DRB3	0.9422
ELOC	SPSB3	0.9422
FCGR1A	LILRA3	0.9422
HLA-E	KIR2DS3	0.9422
SP1	SRY	0.9421
SEPTIN2	SEPTIN10	0.942
KHDRBS1	RBMY1C	0.9419
ASB15	ELOC	0.9418
HLA-DRB3	PDCD1	0.9418
ELOA3	ELOC	0.9417
FCGRT	KIR2DS5	0.9417
NANOGP8	POLR2A	0.9417
AP2S1	HLA-DRB3	0.9414
AXIN1	SEM1	0.9414
EIF2S3	RPS4Y1	0.9414
ELOC	RAB40B	0.9414
MAP3K5	SHANK3	0.9414
NUP88	U2AF1L5	0.9414
HLA-F	KIR2DS2	0.9413
SEM1	TNFRSF1B	0.9413
COPS7B	ELOC	0.9412
EIF2S1	EIF2S3B	0.9412
GRK2	OR8U9	0.9412
PPP1CB	PPP1R2B	0.9412
GNGT1	OR2W5	0.9411
MUC2	ST6GALNAC2	0.941
PSMB9	SEM1	0.941
ANKRD9	ELOC	0.9409
AZGP1	KIR2DS2	0.9408
DNM2	HLA-DRB3	0.9408
HLA-DRB4	LCP2	0.9408
PPP4C	PPP4R3C	0.9408
BECN2	MCL1	0.9406
GRAP2	HLA-DRB4	0.9406
CDH13	PCDH11Y	0.9405
RPS4Y1	USP9Y	0.9405
SEM1	SPOP	0.9405
SEM1	TNKS	0.9405
CCT7	TUBA4B	0.9403
NFKBIE	SEM1	0.9403
RPS4X	RPS4Y1	0.9403
SUPT3H	SUPT20HL1	0.9403
DDX3Y	EIF4A1	0.9402
ARRB2	OR2W5	0.9401
CENPVL1	CENPVL3	0.9401
NF1	SEM1	0.9401
NUP188	U2AF1L5	0.94
B3GNT7	MUC19	0.9399
CANX	HLA-DRB4	0.9399
CCT4	TUBA4B	0.9399
BAX	BECN2	0.9396
CAPZB	HLA-DRB3	0.9396
CXCL8	U2AF1L5	0.9396
GCNT4	MUC19	0.9396
TUBA4B	TUBB1	0.9396
CYP3A4	GSTT1	0.9394
ELOC	POLR2A	0.9394
GRK3	TMIGD3	0.9394
HLA-DRB3	SEC31A	0.9394
SEM1	SMURF2	0.9394
GRK3	OR8U9	0.9393
HLA-DQA1	HLA-DRB4	0.9393
ACKR2	CCL3L1	0.9391
GALNT13	MUC3B	0.9391
HLA-DMA	HLA-DRB4	0.9391
BECN2	GABARAPL2	0.9389
CYP1A2	GSTT1	0.9389
GALNT9	MUC2	0.9389
RIOK1	RPS4Y1	0.9389
SEM1	WWP1	0.9389
DLG4	NLGN4Y	0.9388
FCGRT	KIR2DS1	0.9388
EIF1AX	RPS4Y1	0.9387
FCGR2C	PTGS2	0.9387
GNG7	OR11H7	0.9387
AP2A2	HLA-DRB3	0.9386
CREB3	SIK1B	0.9386
AP2M1	HLA-DRB3	0.9385
CD74	HLA-DRB4	0.9385
GNG5	TMIGD3	0.9385
HLA-DRB3	LGMN	0.9385
APOBEC3C	ELOC	0.9384
GALNT6	MUC2	0.9383
HLA-DRB3	HLA-DRB4	0.9382
MUC2	ST6GAL1	0.9382
RIPOR2	WNK1	0.9381
CSNK1E	RPS4Y1	0.938
OAZ3	SEM1	0.938
GALNT15	MUC19	0.9379
HLA-DOB	HLA-DRB4	0.9379
SUPT20HL1	TADA3	0.9379
CD1B	KIR2DS1	0.9378
CFTR	SEM1	0.9378
CREBBP	SIK1B	0.9378
SEM1	TOP1	0.9378
SEM1	UBL4A	0.9378
CCDC8	PNMA6E	0.9377
ENY2	SUPT20HL1	0.9377
HLA-DRB3	KIF2A	0.9376
RIOK2	RPS4Y1	0.9375
NRTN	SHANK3	0.9374
SEM1	SPRED1	0.9373
GALNT14	MUC2	0.9371
ASB13	ELOC	0.937
FCGR3A	LILRA3	0.937
GCNT1	MUC19	0.937
HLA-DRA	HLA-DRB4	0.937
ASB18	ELOC	0.9369
HLA-DRB3	KIFAP3	0.9369
THBD	TRIM65	0.9369
ATF4	SIK1B	0.9366
CAPZA2	HLA-DRB3	0.9366
CD3G	HLA-DRB4	0.9366
ARRB2	TMIGD3	0.9365
GNAL	OR11H7	0.9365
GNG2	TMIGD3	0.9365
SUPT20HL1	TADA2B	0.9364
DCTN3	HLA-DRB3	0.9363
BECN2	ULK2	0.9362
FBXW7	SEM1	0.9362
SEM1	VHL	0.9362
FCGRT	KIR3DS1	0.9361
MUC19	ST3GAL4	0.9361
C1GALT1C1	MUC2	0.936
CTSL	HLA-DRB4	0.936
GNB1	OR8U9	0.9359
HLA-DMB	HLA-DRB4	0.9359
CCND1	SEM1	0.9358
RELB	SEM1	0.9358
HLA-DRB3	SEC24A	0.9356
HLA-F	KIR2DS5	0.9356
HLA-F	KIR3DS1	0.9356
SMIM10L2A	SMIM10L2B	0.9356
HLA-DRB3	SEC24D	0.9355
SEM1	TNFSF14	0.9355
CD1B	KIR2DS2	0.9353
DAZ2	DAZAP1	0.9353
GRK2	TMIGD3	0.9353
HLA-DRB3	PTPN11	0.9353
ACTR1B	HLA-DRB3	0.9352
GSK3B	SEM1	0.9352
HLA-DRB4	STAT1	0.9352
HLA-DRB4	LAG3	0.935
RPP30	RPS4Y1	0.935
CCL3L1	CCR8	0.9346
GRK5	TMIGD3	0.9346
SEM1	UBE2D1	0.9346
CHST4	MUC19	0.9345
NLGN3	SHANK3	0.9344
C1GALT1	MUC19	0.9343
SEM1	TNFSF12	0.9343
LILRA3	SYK	0.9342
NLGN4Y	USP9Y	0.9342
ARF1	HLA-DRB3	0.9341
HLA-DRB4	LAT	0.934
CREB3L1	SIK1B	0.9339
CYP1A1	GSTT1	0.9339
GNG7	TMIGD3	0.9339
HLA-DRB3	KIF22	0.9339
NUP210	U2AF1L5	0.9339
TEX13B	TEX13C	0.9339
AXIN2	SEM1	0.9338
DAZ3	DAZAP1	0.9338
EP300	SRY	0.9337
TEX13B	TEX13D	0.9337
FCGR2C	LILRB5	0.9334
GALNT10	MUC2	0.9334
HIF3A	SEM1	0.9334
EIF2S3B	MAPK3	0.9333
HLA-DRB4	LCK	0.9331
AP1S3	HLA-DRB3	0.933
C1GALT1	MUC2	0.933
MAPK1	SHANK3	0.9329
BECN2	GABARAPL1	0.9328
BPY2	MAP1S	0.9328
HLA-DRB4	PLCG1	0.9327
MUC19	ST3GAL2	0.9327
PSMB11	SEM1	0.9327
APOBEC3B	ELOC	0.9326
ASB12	ELOC	0.9326
KDM5D	USP9Y	0.9326
HLA-DRB3	SH3GL2	0.9325
AP2B1	HLA-DRB3	0.9324
CCL3L1	XCR1	0.9324
CREBBP	NFE4	0.9324
GNAI1	TMIGD3	0.9324
SEM1	ZSWIM8	0.9324
FCGR2C	MAPK12	0.9323
KIR2DS2	RAET1G	0.9323
CREB1	HLA-DRB3	0.9322
DNAJC3	RPS4Y1	0.9322
KIR3DS1	TYROBP	0.9322
DYNC1LI2	HLA-DRB3	0.9321
HLA-DRB3	KIF4B	0.9321
LIMD1	SEM1	0.9321
DVL2	SEM1	0.932
HLA-DOA	HLA-DRB4	0.9317
MAP3K14	SEM1	0.9317
GRM5	NLGN4Y	0.9316
KDM5D	UTY	0.9316
CTSF	HLA-DRB3	0.9314
DYNC1I1	HLA-DRB3	0.9314
SEM1	TNF	0.9314
AP1M1	HLA-DRB3	0.9311
BECN2	ULK1	0.9311
CHST4	MUC2	0.9311
CREB3L3	SIK1B	0.9311
RNF144A	UBE2L5	0.9311
SEM1	TNKS2	0.9311
HLA-C	KIR2DS3	0.931
GNAO1	TMIGD3	0.9309
SUPT20HL1	TADA1	0.9309
ATG9B	ATG13	0.9307
DLGAP3	SHANK3	0.9307
NFKB1	SEM1	0.9307
CTSV	HLA-DRB3	0.9306
CLTA	HLA-DRB3	0.9305
GCNT4	MUC2	0.9305
KIR2DS2	MR1	0.9304
NRXN3	SHANK3	0.9304
RPP14	RPS4Y1	0.9304
LTV1	RPS4Y1	0.9303
NFKB2	SEM1	0.9303
CD1A	KIR2DS5	0.9302
SEM1	SUFU	0.9302
GNG3	TMIGD3	0.9301
OR2W5	PRKACB	0.9301
APOBEC3H	ELOC	0.93
BECN2	UVRAG	0.93
OR8U9	PRKACB	0.93
GNAL	OR2W5	0.9299
MYC	NANOGP8	0.9299
CTSD	HLA-DRB4	0.9298
GALNT2	MUC3B	0.9298
CD1D	KIR3DS1	0.9297
CD1B	KIR2DS5	0.9295
GALNT11	MUC3B	0.9295
EIF1AY	EIF3J	0.9294
CD1D	KIR2DS1	0.9293
AMBRA1	BECN2	0.9292
DLG3	NLGN4Y	0.9292
MUC2	ST6GALNAC4	0.9292
DVL1	SEM1	0.9291
ELOC	SMS	0.929
HLA-DRB3	KIF11	0.929
MUC2	ST3GAL2	0.929
NLGN4Y	SHANK3	0.9289
HLA-DRB3	OSBPL1A	0.9288
HLA-DRB3	SEC13	0.9288
RPA1	SEM1	0.9288
ASB10	ELOC	0.9287
KIR3DS1	MICB	0.9287
RUNX3	SEM1	0.9285
ATG14	BECN2	0.9284
GNB1	OR11H7	0.9284
BCL2L10	BECN2	0.9283
GNG7	OR2W5	0.9283
GRK2	OR11H7	0.9283
OR4E1	REEP1	0.9283
OR4E1	RTP1	0.9283
OR4E1	RTP2	0.9283
HLA-DRB3	SEC24C	0.9282
FCGRT	KIR2DS2	0.9281
HIF1A	SEM1	0.9281
DCTN1	HLA-DRB3	0.928
RAD51	SEM1	0.928
HLA-DRB3	RAB7A	0.9277
MED16	TBL1Y	0.9277
NANOGP8	POU5F1B	0.9277
GALNT2	MUC19	0.9276
LTB	SEM1	0.9276
BECN2	SH3GLB1	0.9275
ACTR1B	HLA-DRB4	0.9274
ASB14	ELOC	0.9274
KIR2DS5	TYROBP	0.9274
ROBO3	SEM1	0.9274
SMARCD1	TBL1Y	0.9274
DNM2	HLA-DRB4	0.9273
ASB17	ELOC	0.9272
AP2A1	HLA-DRB3	0.9271
CYP1B1	GSTT1	0.9271
FAT3	PCDH11Y	0.9271
MUC2	TP53	0.9271
RHOC	RIPOR2	0.9271
HLA-DRB3	RACGAP1	0.9269
KIR2DS5	RAET1E	0.9269
REL	SEM1	0.9269
CDKN1B	SEM1	0.9268
DDX3Y	EIF1AY	0.9268
HDAC1	NFE4	0.9268
DDX3Y	USP9Y	0.9267
AP1B1	HLA-DRB4	0.9266
BCL2A1	BECN2	0.9266
EIF2AK3	EIF2S3B	0.9266
ELOC	PSMB11	0.9266
RPP21	RPS4Y1	0.9266
OR8U8	RTP2	0.9265
DAZ1	DYNLL1	0.9263
HLA-DRB4	PTPN22	0.9263
HLA-F	KIR2DS3	0.9263
OR8U9	PRKACG	0.9263
CREB3L2	SIK1B	0.9262
HOMER2	SHANK3	0.9261
OR2W5	PRKACG	0.926
ELOC	VHLL	0.9258
HOMER3	SHANK3	0.9258
CD1E	KIR2DS2	0.9257
KIR2DS2	MICB	0.9257
OR2W5	PRKACA	0.9257
CTSF	HLA-DRB4	0.9256
DYNLL1	HLA-DRB3	0.9256
HLA-DRB3	KIF18A	0.9256
OR8U8	RTP1	0.9256
GNAI3	TMIGD3	0.9254
OR2W5	REEP1	0.9254
A4GNT	MUC2	0.9253
CCNB2	DDX3Y	0.9252
EPAS1	SEM1	0.9252
TGIF2LX	TGIF2LY	0.9252
HLA-DRB3	RILP	0.925
HLA-DRB3	KLC2	0.9249
MPP2	SHANK3	0.9247
KIR2DS1	MR1	0.9246
BTRC	SEM1	0.9245
HIVEP3	SEM1	0.9244
CD1D	KIR2DS5	0.9242
CREB1	SIK1B	0.9242
KIR2DS5	MICB	0.9241
CD1E	KIR2DS5	0.924
ARRB1	OR2W5	0.9238
KIR2DS1	MICB	0.9238
OR2W5	RTP1	0.9238
BUD23	RPS4Y1	0.9237
CD1C	KIR2DS1	0.9237
DDX3Y	RPS4Y2	0.9236
CD1C	KIR2DS5	0.9233
DYNLL2	HLA-DRB3	0.9233
NANOGP8	POU5F1	0.9233
EIF2AK2	EIF2S3B	0.9231
NCL	NFE4	0.9231
EIF1AY	EIF5B	0.923
MUC3B	ST6GAL1	0.9229
PPP2CB	TBL1Y	0.9229
CSNK1D	RPS4Y1	0.9228
ARIH1	UBE2L5	0.9227
GRK4	TMIGD3	0.9227
CLTC	HLA-DRB4	0.9226
RNF19A	UBE2L5	0.9226
CAPZA1	HLA-DRB3	0.9225
SMARCB1	TBL1Y	0.9225
EGLN1	SEM1	0.9224
CREB5	SIK1B	0.9223
MUC19	ST6GALNAC4	0.9223
PPP4R2	PPP4R3B	0.9223
TUBA4B	TUBB2A	0.9223
GRM1	NLGN4Y	0.9222
EIF1AY	EIF3A	0.9221
GALNT15	MUC2	0.9221
CREB1	HLA-DRB4	0.922
EIF1AY	USP9Y	0.922
OR11H7	RTP2	0.9219
CD274	HLA-DRB4	0.9217
GALNT11	MUC19	0.9217
HLA-DRB3	KIF3B	0.9217
HLA-DRB3	SAR1B	0.9217
NME6	RCC1L	0.9217
DYNLL2	HLA-DRB4	0.9216
GNG12	TMIGD3	0.9216
NOTCH4	SEM1	0.9215
RAD23B	SEM1	0.9215
NXT1	U2AF1L5	0.9214
MUC3B	ST3GAL4	0.9212
MUC3B	ST6GALNAC2	0.9212
ACTR1A	HLA-DRB3	0.921
NRXN2	SHANK3	0.921
PPP4C	PPP4R3B	0.921
GDAP2	VWA5B1	0.9209
GHR	ITPRID1	0.9209
GIMAP2	RTL8A	0.9209
GIMAP5	PWWP3B	0.9209
GIMAP5	TAFA5	0.9209
GIMAP6	SHOC1	0.9209
GLG1	PWWP3B	0.9209
GLI4	ITPRID1	0.9209
GLT8D1	PCARE	0.9209
GML	TCEAL9	0.9209
GNLY	TMEM232	0.9209
GNS	MAB21L4	0.9209
GOLGA6L2	MAP11	0.9209
GOLGA6L2	TENT2	0.9209
GOLGA7B	SLC49A4	0.9209
GON4L	MAB21L4	0.9209
GORAB	IQCN	0.9209
GPATCH2	RGSL1	0.9209
GPATCH2L	INAVA	0.9209
NXF1	U2AF1L5	0.9209
GRK2	OR52E1	0.9208
TUBA4B	TUBB6	0.9208
ARRB1	TMIGD3	0.9207
CCL3L1	RELB	0.9207
GSTT1	KLF2	0.9207
CD1A	KIR2DS2	0.9206
KIR2DS2	RAET1E	0.9206
APOBEC3A	ELOC	0.9205
MUC3B	ST3GAL2	0.9205
CCT8	TUBA4B	0.9204
HLA-DRB3	KIF23	0.9203
KIR2DS1	ULBP3	0.9203
NXF2	U2AF1L5	0.9203
ACKR3	CCL3L1	0.9202
ARRB1	OR8U9	0.9202
MUC3B	ST3GAL3	0.9202
PSPN	SHANK3	0.9202
EIF1AY	EIF3I	0.9201
GALNT2	MUC2	0.9201
MUC3B	ST6GALNAC4	0.9201
OR11H7	PRKACG	0.9201
CTNNB1	SRY	0.9199
OR8U8	REEP1	0.9199
TRAF2	UBE2NL	0.9198
CTCF	P3H3	0.9197
EIF1AY	EIF3C	0.9197
KIR3DS1	MICA	0.9197
MUC2	ST3GAL1	0.9197
NLGN4Y	SHANK1	0.9197
SMARCA2	TBL1Y	0.9196
AP1S2	HLA-DRB4	0.9195
DYNC1LI1	HLA-DRB3	0.9195
FAT1	PCDH11Y	0.9195
PPP1R9A	SHANK3	0.9195
SEPTIN2	WDPCP	0.9195
