GeneA	GeneB	Digene_Score
EIF4A1	RPS4Y1	0.9815
ELOC	FEM1B	0.9815
ELOC	MNAT1	0.9815
RPL34	RPS4Y1	0.9815
EIF3J	RPS4Y1	0.9814
ELOC	PSMB5	0.9814
HLA-G	KIR2DS4	0.9814
SRSF3	U2AF1L5	0.9814
RPL36A	RPS4Y1	0.9812
RPL37	RPS4Y1	0.9812
RPS4Y1	RPS8	0.9812
ELOC	NELFA	0.9811
RPL5	RPS4Y1	0.9811
COPS3	ELOC	0.981
CUL5	ELOC	0.981
ELOC	POLR2K	0.981
ELOC	PSMD10	0.981
MAPK6	SEM1	0.981
ELOC	RBX1	0.9808
PSMA2	SEM1	0.9808
RPS4Y1	RPS19	0.9808
EEF1A1	RPS4Y1	0.9807
ELOC	GTF2H1	0.9806
ELOC	PSME3	0.9806
CTXN3	CTXND1	0.9805
ELOC	POLR2I	0.9805
PSMB4	SEM1	0.9805
RBMX	U2AF1L5	0.9805
CPSF7	U2AF1L5	0.9804
RPS4Y1	RPS27	0.9804
RPS4Y1	RPS28	0.9804
SMIM11A	SMIM11B	0.9804
AFF4	ELOC	0.9803
ELOC	PSMD7	0.9803
HLA-DMB	HLA-DRB3	0.9803
EIF3C	RPS4Y1	0.9802
ELOC	SPSB2	0.9802
RPS4Y1	RPS11	0.9802
HNRNPR	U2AF1L5	0.9801
RPL32	RPS4Y1	0.9801
FCGR2C	SYK	0.9799
ELOC	PSMC3	0.9798
RPL23	RPS4Y1	0.9798
RPL36	RPS4Y1	0.9797
TMEM191B	TMEM191C	0.9797
AR	SRY	0.9796
CCNK	ELOC	0.9796
COPS6	ELOC	0.9796
RPL13	RPS4Y1	0.9796
RPS4Y1	RPS6	0.9796
ELOC	FEM1A	0.9795
ELOC	RNF7	0.9795
RPL7A	RPS4Y1	0.9795
RPS4Y1	RPS21	0.9795
ANGPTL4	ANGPTL8	0.9794
B2M	KIR2DL2	0.9794
EIF3A	RPS4Y1	0.9793
ELOC	UBE2F	0.9792
PSMB7	SEM1	0.9792
CWC15	U2AF1L5	0.9791
PSMC2	SEM1	0.979
RPLP1	RPS4Y1	0.979
CWC22	U2AF1L5	0.9789
PUF60	U2AF1L5	0.9789
HLA-DRB3	LAG3	0.9788
HLA-DRB3	LCP2	0.9788
